(('1960', '03', '116650'), -2.126881720430107)
(('1960', '03', '117160'), -0.9167410714285719)
(('1960', '03', '117330'), -1.8870967741935487)
(('1960', '03', '123480'), -4.918279569892474)
(('1960', '03', '124020'), -3.4862903225806443)
(('1960', '03', '127310'), -1.4797872340425522)
(('1960', '03', '127380'), -1.2741935483870972)
(('1960', '03', '127600'), -2.1451612903225814)
(('1960', '03', '132620'), -3.0580645161290314)
(('1960', '03', '134110'), -2.1074957410562236)
(('1960', '03', '135440'), -2.1495145631067945)
(('1960', '03', '136420'), -3.025806451612903)
(('1960', '03', '136610'), -2.920430107526881)
(('1960', '03', '137030'), -0.24220183486238506)
(('1960', '03', '139340'), -1.9276190476190471)
(('1960', '03', '139540'), -2.5607476635514024)
(('1960', '03', '140360'), -3.9956989247311823)
(('1960', '03', '144300'), -5.075806451612902)
(('1960', '03', '145340'), -2.9145631067961153)
(('1960', '03', '147100'), -5.773387096774196)
(('1960', '03', '147570'), -4.451456310679611)
(('1960', '03', '149160'), -3.1018518518518503)
(('1960', '03', '150640'), -3.5558352402746003)
(('1960', '03', '151290'), -3.6903225806451623)
(('1960', '03', '155910'), -5.886021505376344)
(('1960', '03', '157720'), -5.147311827956989)
(('1960', '03', '158850'), -5.581250000000003)
(('1960', '03', '159970'), -5.114423076923076)
(('1960', '03', '160740'), -1.8540540540540535)
(('1960', '03', '160790'), -5.837634408602149)
(('1960', '03', '162860'), -4.3286036036036055)
(('1960', '03', '163690'), -5.139603960396043)
(('1960', '03', '163950'), -6.995967741935488)
(('1960', '03', '167710'), -6.304301075268817)
(('1960', '03', '167980'), -5.116129032258064)
(('1960', '03', '169880'), -5.07956989247312)
(('1960', '03', '172680'), -5.060215053763441)
(('1960', '03', '173810'), -5.197849462365592)
(('1960', '03', '180750'), -4.272043010752687)
(('1960', '03', '180940'), -5.249829931972792)
(('1960', '03', '183760'), -5.226595744680853)
(('1960', '03', '188830'), -5.194354838709677)
(('1960', '03', '192830'), -6.250806451612902)
(('1960', '03', '52230'), 1.7365591397849456)
(('1960', '03', '53200'), 1.4741935483870967)
(('1960', '03', '53260'), 1.3387096774193545)
(('1960', '03', '53360'), 2.3693548387096777)
(('1960', '03', '53370'), 2.5827956989247314)
(('1960', '03', '53650'), 2.4176470588235293)
(('1960', '03', '54330'), 1.0559139784946237)
(('1960', '03', '55570'), 0.6612903225806454)
(('1960', '03', '62180'), 2.3015384615384638)
(('1960', '03', '62190'), 2.1010416666666676)
(('1960', '03', '62410'), 2.9461669505962527)
(('1960', '03', '63050'), 2.2511520737327175)
(('1960', '03', '63220'), 3.007199999999998)
(('1960', '03', '64020'), 0.6258064516129033)
(('1960', '03', '64520'), 0.9387096774193548)
(('1960', '03', '64600'), 2.051612903225806)
(('1960', '03', '65160'), 1.2928692699490658)
(('1960', '03', '65640'), -0.1537634408602154)
(('1960', '03', '65730'), 1.3505376344086022)
(('1960', '03', '66120'), 0.49032258064516115)
(('1960', '03', '66410'), -0.05646258503401406)
(('1960', '03', '68550'), -0.4427419354838712)
(('1960', '03', '71380'), 1.9494623655913983)
(('1960', '03', '71430'), 1.7680272108843529)
(('1960', '03', '71470'), 2.1290816326530635)
(('1960', '03', '72080'), 2.587096774193548)
(('1960', '03', '73250'), 0.6655913978494624)
(('1960', '03', '73430'), -0.3120967741935487)
(('1960', '03', '74180'), 1.2451298701298703)
(('1960', '03', '75040'), -0.6521008403361344)
(('1960', '03', '76470'), -0.41397849462365577)
(('1960', '03', '77220'), 0.006451612903225868)
(('1960', '03', '78400'), -0.6686379928315416)
(('1960', '03', '79580'), -0.3784946236559142)
(('1960', '03', '81060'), 1.664516129032258)
(('1960', '03', '81560'), 1.3763440860215057)
(('1960', '03', '81620'), 1.221505376344086)
(('1960', '03', '82230'), -0.41290322580645167)
(('1960', '03', '82260'), 0.502247191011236)
(('1960', '03', '82490'), -0.9310483870967728)
(('1960', '03', '82650'), 0.4098214285714282)
(('1960', '03', '83620'), 0.8301075268817202)
(('1960', '03', '83640'), 0.6553763440860215)
(('1960', '03', '84310'), 0.38044943820224736)
(('1960', '03', '84580'), -0.4559139784946239)
(('1960', '03', '84620'), 0.35860215053763445)
(('1960', '03', '85040'), -0.28279569892473133)
(('1960', '03', '85240'), -0.056122448979592274)
(('1960', '03', '85650'), -1.00752688172043)
(('1960', '03', '86370'), -0.12835314091680805)
(('1960', '03', '86480'), 0.048129251700680206)
(('1960', '03', '87150'), -0.30537634408602143)
(('1960', '03', '87450'), -0.6741935483870968)
(('1960', '03', '89240'), -1.550806451612904)
(('1960', '03', '91620'), -0.08924731182795675)
(('1960', '03', '93220'), 0.3336405529953914)
(('1960', '03', '93640'), 0.41681415929203514)
(('1960', '03', '94170'), -0.10178571428571434)
(('1960', '03', '95620'), -1.316129032258065)
(('1960', '03', '96350'), -0.640986394557824)
(('1960', '03', '97110'), -0.7228381374722842)
(('1960', '03', '97200'), -1.0972789115646278)
(('1960', '03', '97260'), -0.9100511073253826)
(('1960', '03', '97530'), -0.981735159817353)
(('1960', '03', '97620'), -0.9387096774193551)
(('1960', '03', '98040'), -1.74758064516129)
(('1960', '03', '99270'), -2.7225806451612904)
(('1960', '03', '99450'), -2.6526881720430104)
(('1960', '04', '102190'), 2.5099999999999993)
(('1960', '04', '103090'), 3.987640449438201)
(('1960', '04', '103410'), 1.5775000000000001)
(('1960', '04', '105370'), 3.9966666666666657)
